model,n_genes,macro_auroc,ci_lo,ci_hi,pooled_auroc
"Structure-only, gene-held-out",54,0.843740635928316,0.8157511612788749,0.8700261371565813,0.8222428778367938
"Structure-only, RANDOM split",54,0.9082005559819321,0.8875540334059011,0.928052706565436,0.9557757709423572
Gene-ID-only (circular),54,0.5,0.5,0.5,0.8209860101530793
"Gene-ID-only, gene-held-out",54,0.5,0.5,0.5,0.5
AlphaMissense (reference),54,0.9661091395983846,0.9482378519618724,0.9796596096793604,0.970041760737077
EVE (reference),53,0.947876596505514,0.9262950579284609,0.964502525920047,0.9312478273877982
